time_index,maturity_i,maturity_j,covariance
3,4 Mo,2 Yr,0.006939947382166825
3,4 Mo,3 Yr,0.005512058909979153
3,4 Mo,5 Yr,0.004470077445468162
3,4 Mo,7 Yr,0.003914073428744793
3,4 Mo,10 Yr,0.0032150349939826825
3,4 Mo,20 Yr,0.0020443966161379228
3,4 Mo,30 Yr,0.0017664395658117886
3,6 Mo,1 Mo,0.009254740112991672
3,6 Mo,2 Mo,0.006972151891805545
3,6 Mo,3 Mo,0.006204517740615455
3,6 Mo,4 Mo,0.006423436292293631
3,6 Mo,6 Mo,0.00835803569506574
3,6 Mo,1 Yr,0.010052719209452072
3,6 Mo,2 Yr,0.01143098314850057
3,6 Mo,3 Yr,0.009807445659809129
3,6 Mo,5 Yr,0.00828624160236657
3,6 Mo,7 Yr,0.007253832934094206
3,6 Mo,10 Yr,0.005914201594106497
3,6 Mo,20 Yr,0.004024907472762986
3,6 Mo,30 Yr,0.003221626597508044
3,1 Yr,1 Mo,0.007385028808789035
3,1 Yr,2 Mo,0.008199170490618541
3,1 Yr,3 Mo,0.006445499137652608
3,1 Yr,4 Mo,0.007265082427410021
3,1 Yr,6 Mo,0.010052719209452072
3,1 Yr,1 Yr,0.016870827425068017
3,1 Yr,2 Yr,0.02051842840149502
3,1 Yr,3 Yr,0.018346993591088285
3,1 Yr,5 Yr,0.01581030506471159
3,1 Yr,7 Yr,0.013756286670985092
3,1 Yr,10 Yr,0.011255136791920936
3,1 Yr,20 Yr,0.007671163475713857
3,1 Yr,30 Yr,0.006231485679965794
3,2 Yr,1 Mo,0.0034160744784385317
3,2 Yr,2 Mo,0.0069365879031566356
3,2 Yr,3 Mo,0.005500122874338555
3,2 Yr,4 Mo,0.006939947382166825
3,2 Yr,6 Mo,0.01143098314850057
3,2 Yr,1 Yr,0.02051842840149502
3,2 Yr,2 Yr,0.031110849170221104
3,2 Yr,3 Yr,0.030132646238793748
3,2 Yr,5 Yr,0.02715161979629595
3,2 Yr,7 Yr,0.024199364975963714
3,2 Yr,10 Yr,0.02021132888248986
